"Region_ID","Region_Name","Region_Lat","Region_Lon","Vaccine_Name","Vaccine_Abbreviation","Age_Group","Coverage_Percentage","Year_Value","Source_File"
1,"Piemonte",45.0732745,7.680687483,"Difterite","DIF",16,"66.33",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Tetano","TET",16,"66.53",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Pertosse","PER",16,"65.71",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose",16,"96.21",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose",16,"94.4",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Parotite (prima dose)","PAR_first_dose",16,"95.5",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Parotite (seconda dose)","PAR_second_dose",16,"93.92",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Rosolia (prima dose)","ROS_first_dose",16,"95.68",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Rosolia (seconda dose)","ROS_second_dose",16,"94.02",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Meningococco C coniugato","Men C",16,"71.47",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Polio","POL",16,"65.94",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Epatite A","EP A",16,"0.1",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Meningococco ACYW coniugato","Men ACYW",16,"62.79",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Difterite","DIF",16,"88.42",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Tetano","TET",16,"89.88",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Pertosse","PER",16,"87.99",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose",16,"95.8",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose",16,"94",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite (prima dose)","PAR_first_dose",16,"95.71",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite (seconda dose)","PAR_second_dose",16,"93.57",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia (prima dose)","ROS_first_dose",16,"95.71",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia (seconda dose)","ROS_second_dose",16,"93.74",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco C coniugato","Men C",16,"84.99",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Polio","POL",16,"88.16",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite A","EP A",16,"1.72",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco ACYW coniugato","Men ACYW",16,"83.45",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Difterite","DIF",16,"55.72",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Tetano","TET",16,"55.89",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Pertosse","PER",16,"54.65",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose",16,"95.96",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose",16,"93.34",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Parotite (prima dose)","PAR_first_dose",16,"95.67",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Parotite (seconda dose)","PAR_second_dose",16,"92.08",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Rosolia (prima dose)","ROS_first_dose",16,"95.74",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Rosolia (seconda dose)","ROS_second_dose",16,"92.39",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Meningococco C coniugato","Men C",16,"74.25",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Polio","POL",16,"55.3",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Epatite A","EP A",16,"5.42",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Meningococco ACYW coniugato","Men ACYW",16,"58.36",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Difterite","DIF",16,"64.63",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Tetano","TET",16,"65.19",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Pertosse","PER",16,"63.45",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose",16,"90.92",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose",16,"89.53",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Parotite (prima dose)","PAR_first_dose",16,"91.8",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Parotite (seconda dose)","PAR_second_dose",16,"89.23",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Rosolia (prima dose)","ROS_first_dose",16,"91.85",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Rosolia (seconda dose)","ROS_second_dose",16,"89.33",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Meningococco C coniugato","Men C",16,"58.56",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Polio","POL",16,"65.52",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Epatite A","EP A",16,"3.68",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"Meningococco ACYW coniugato","Men ACYW",16,"0.33",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Difterite","DIF",16,"85.55",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Tetano","TET",16,"86.01",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Pertosse","PER",16,"84.54",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose",16,"95.25",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose",16,"93.76",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Parotite (prima dose)","PAR_first_dose",16,"95.21",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Parotite (seconda dose)","PAR_second_dose",16,"93.3",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Rosolia (prima dose)","ROS_first_dose",16,"95.21",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Rosolia (seconda dose)","ROS_second_dose",16,"93.46",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Meningococco C coniugato","Men C",16,"85.78",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Polio","POL",16,"85.33",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Epatite A","EP A",16,"4.03",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
22,"Trento",46.06893511,11.12123097,"Meningococco ACYW coniugato","Men ACYW",16,"84.36",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Difterite","DIF",16,"78.77",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Tetano","TET",16,"79.17",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Pertosse","PER",16,"78.08",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose",16,"96.45",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose",16,"94.19",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Parotite (prima dose)","PAR_first_dose",16,"96.33",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Parotite (seconda dose)","PAR_second_dose",16,"93.42",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Rosolia (prima dose)","ROS_first_dose",16,"96.37",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Rosolia (seconda dose)","ROS_second_dose",16,"93.7",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Meningococco C coniugato","Men C",16,"81.03",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Polio","POL",16,"78.49",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Epatite A","EP A",16,"11.44",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
5,"Veneto",45.43490485,12.33845213,"Meningococco ACYW coniugato","Men ACYW",16,"78.77",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Difterite","DIF",16,"59.12",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Tetano","TET",16,"60.13",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Pertosse","PER",16,"58.28",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Morbillo, Parotite, Rosolia, Varicella","MPRV_first_dose",16,"95.17",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Morbillo, Parotite, Rosolia, Varicella","MPRV_second_dose",16,"93.28",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Parotite (prima dose)","PAR_first_dose",16,"95.14",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Parotite (seconda dose)","PAR_second_dose",16,"92.71",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Rosolia (prima dose)","ROS_first_dose",16,"95.11",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Rosolia (seconda dose)","ROS_second_dose",16,"92.82",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Meningococco C coniugato","Men C",16,"5.7",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Polio","POL",16,"58.11",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Epatite A","EP A",16,"4.36",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"Meningococco ACYW coniugato","Men ACYW",16,"59.53",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
7,"Liguria",44.41149315,8.9326992,"Difterite","DIF",16,"55.8",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
7,"Liguria",44.41149315,8.9326992,"Tetano","TET",16,"55.8",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
7,"Liguria",44.41149315,8.9326992,"Pertosse","PER",16,"55.37",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_5_file.pdf"
