"Region_ID","Region_Name","Region_Lat","Region_Lon","Vaccine_Name","Vaccine_Abbreviation","Age_Group","Coverage_Percentage","Year_Value","Source_File"
1,"Piemonte",45.0732745,7.680687483,"Polio","POL","48 mesi","97.07",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Difterite","DIF","48 mesi","97.07",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Tetano","TET","48 mesi","97.09",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Pertosse","PER","48 mesi","97.04",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Epatite B","EP B","48 mesi","96.9",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Hib","HIB","48 mesi","96.26",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Morbillo","MOR","48 mesi","96.01",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Parotite","PAR","48 mesi","95.79",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Rosolia","ROS","48 mesi","95.94",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Varicella","VAR","48 mesi","49.66",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Meningococco C coniugato","Men C","48 mesi","92.82",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Pneumococco coniugato","PNC","48 mesi","93.55",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Epatite A","EP A","48 mesi","0",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Rotavirus","ROTA","48 mesi",NA,2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Meningococco B","Men B","48 mesi","14.77",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"Meningococco ACYW coniugato","Men ACYW","48 mesi","1.29",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Polio","POL","48 mesi","95.35",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Difterite","DIF","48 mesi","95.25",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Tetano","TET","48 mesi","95.46",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Pertosse","PER","48 mesi","95.25",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite B","EP B","48 mesi","94.93",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Hib","HIB","48 mesi","94.51",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo","MOR","48 mesi","94.72",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite","PAR","48 mesi","94.4",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia","ROS","48 mesi","94.72",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Varicella","VAR","48 mesi","42.66",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco C coniugato","Men C","48 mesi","89.33",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Pneumococco coniugato","PNC","48 mesi","90.81",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite A","EP A","48 mesi","0.53",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Rotavirus","ROTA","48 mesi",NA,2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco B","Men B","48 mesi","25.66",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco ACYW coniugato","Men ACYW","48 mesi","0.32",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Polio","POL","48 mesi","96.07",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Difterite","DIF","48 mesi","96.06",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Tetano","TET","48 mesi","96.08",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Pertosse","PER","48 mesi","96.05",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Epatite B","EP B","48 mesi","95.88",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Hib","HIB","48 mesi","95.34",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Morbillo","MOR","48 mesi","95.67",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Parotite","PAR","48 mesi","95.62",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Rosolia","ROS","48 mesi","95.49",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"Varicella","VAR","48 mesi","74.8",2020,"https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_38_2_2_file.pdf"
