"Region_ID","Region_Name","Region_Lat","Region_Lon","Vaccine_Name","Vaccine_Abbreviation","Age_Group","Coverage_Percentage","Year_Value"
1,"Piemonte",45.0732745,7.680687483,"Polio","POL","24 months","94.5",2023
1,"Piemonte",45.0732745,7.680687483,"Difterite","DIF","24 months","94.5",2023
1,"Piemonte",45.0732745,7.680687483,"Tetano","TET","24 months","94.51",2023
1,"Piemonte",45.0732745,7.680687483,"Pertosse","PER","24 months","94.5",2023
1,"Piemonte",45.0732745,7.680687483,"Epatite B","EP B","24 months","94.49",2023
1,"Piemonte",45.0732745,7.680687483,"Hib","HIB","24 months","95.77",2023
1,"Piemonte",45.0732745,7.680687483,"Morbillo","MOR","24 months","94.47",2023
1,"Piemonte",45.0732745,7.680687483,"Parotite","PAR","24 months","94.42",2023
1,"Piemonte",45.0732745,7.680687483,"Rosolia","ROS","24 months","94.47",2023
1,"Piemonte",45.0732745,7.680687483,"Varicella","VAR","24 months","93.81",2023
1,"Piemonte",45.0732745,7.680687483,"Meningococco C coniugato","Men C","24 months","89.31",2023
1,"Piemonte",45.0732745,7.680687483,"Pneumococco coniugato","PNC","24 months","90.75",2023
1,"Piemonte",45.0732745,7.680687483,"Epatite A","EP A","24 months","0.31",2023
1,"Piemonte",45.0732745,7.680687483,"Rotavirus","ROTA","24 months","81.06",2023
1,"Piemonte",45.0732745,7.680687483,"Meningococco B","Men B","24 months","88.36",2023
1,"Piemonte",45.0732745,7.680687483,"Meningococco ACYW coniugato","Men ACYW","24 months","1.7",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Polio","POL","24 months","95.01",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Difterite","DIF","24 months","95.01",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Tetano","TET","24 months","95.01",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Pertosse","PER","24 months","95.01",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite B","EP B","24 months","95.01",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Hib","HIB","24 months","95.01",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Morbillo","MOR","24 months","94.33",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Parotite","PAR","24 months","94.2",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Rosolia","ROS","24 months","94.33",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Varicella","VAR","24 months","93.39",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco C coniugato","Men C","24 months","90.82",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Pneumococco coniugato","PNC","24 months","94.74",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Epatite A","EP A","24 months","0.13",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Rotavirus","ROTA","24 months","70.18",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco B","Men B","24 months","82.32",2023
2,"Valle d'Aosta",45.73750286,7.320149366,"Meningococco ACYW coniugato","Men ACYW","24 months","2.43",2023
3,"Lombardia",45.46679409,9.190347404,"Polio","POL","24 months","96.78",2023
3,"Lombardia",45.46679409,9.190347404,"Difterite","DIF","24 months","96.78",2023
3,"Lombardia",45.46679409,9.190347404,"Tetano","TET","24 months","96.78",2023
3,"Lombardia",45.46679409,9.190347404,"Pertosse","PER","24 months","96.77",2023
3,"Lombardia",45.46679409,9.190347404,"Epatite B","EP B","24 months","96.78",2023
3,"Lombardia",45.46679409,9.190347404,"Hib","HIB","24 months","96.67",2023
3,"Lombardia",45.46679409,9.190347404,"Morbillo","MOR","24 months","96.71",2023
3,"Lombardia",45.46679409,9.190347404,"Parotite","PAR","24 months","96.67",2023
3,"Lombardia",45.46679409,9.190347404,"Rosolia","ROS","24 months","96.7",2023
3,"Lombardia",45.46679409,9.190347404,"Varicella","VAR","24 months","96.12",2023
3,"Lombardia",45.46679409,9.190347404,"Meningococco C coniugato","Men C","24 months","93.88",2023
3,"Lombardia",45.46679409,9.190347404,"Pneumococco coniugato","PNC","24 months","94.27",2023
3,"Lombardia",45.46679409,9.190347404,"Epatite A","EP A","24 months","2.73",2023
3,"Lombardia",45.46679409,9.190347404,"Rotavirus","ROTA","24 months","82.9",2023
3,"Lombardia",45.46679409,9.190347404,"Meningococco B","Men B","24 months","93.55",2023
3,"Lombardia",45.46679409,9.190347404,"Meningococco ACYW coniugato","Men ACYW","24 months","1.91",2023
21,"Bolzano",46.49933453,11.35662422,"Polio","POL","24 months","85.28",2023
21,"Bolzano",46.49933453,11.35662422,"Difterite","DIF","24 months","85.36",2023
21,"Bolzano",46.49933453,11.35662422,"Tetano","TET","24 months","85.36",2023
21,"Bolzano",46.49933453,11.35662422,"Pertosse","PER","24 months","85.32",2023
21,"Bolzano",46.49933453,11.35662422,"Epatite B","EP B","24 months","85.38",2023
21,"Bolzano",46.49933453,11.35662422,"Hib","HIB","24 months","85.34",2023
21,"Bolzano",46.49933453,11.35662422,"Morbillo","MOR","24 months","83.81",2023
21,"Bolzano",46.49933453,11.35662422,"Parotite","PAR","24 months","83.79",2023
21,"Bolzano",46.49933453,11.35662422,"Rosolia","ROS","24 months","83.81",2023
21,"Bolzano",46.49933453,11.35662422,"Varicella","VAR","24 months","83.38",2023
21,"Bolzano",46.49933453,11.35662422,"Meningococco C coniugato","Men C","24 months","70.77",2023
21,"Bolzano",46.49933453,11.35662422,"Pneumococco coniugato","PNC","24 months","78.39",2023
21,"Bolzano",46.49933453,11.35662422,"Epatite A","EP A","24 months","0.69",2023
